logged,time,location,name,number,spr,william_hill,bet_victor,betfair_sportsbook,paddy_power,888_sports,sky_bet,betfair_exchange,date
2023-07-01 22:00:00,12:40,Newmarket,Denruth Diamond,2.0,15.0,13.0,15.0,15.0,15.0,13.0,15.0,18.5,2023-07-01
2023-07-01 22:00:00,12:40,Newmarket,Indispensable,3.0,12.0,10.0,13.0,13.0,13.0,9.0,12.0,14.5,2023-07-01
2023-07-01 22:00:00,12:40,Newmarket,Neverstopdreaming,4.0,26.0,21.0,26.0,26.0,26.0,21.0,26.0,23.0,2023-07-01
2023-07-01 22:00:00,12:40,Newmarket,Point Of Attack,5.0,12.0,11.0,12.0,12.0,12.0,12.0,12.0,18.0,2023-07-01
2023-07-01 22:00:00,12:40,Newmarket,Rare Jewel,6.0,11.0,13.0,12.0,10.0,10.0,12.0,11.0,11.5,2023-07-01
2023-07-01 22:00:00,12:40,Newmarket,Star Of Mystery,7.0,2.38,2.25,2.38,2.38,2.38,2.25,2.38,2.42,2023-07-01
2023-07-01 22:00:00,12:40,Newmarket,Unbreak My Heart,8.0,7.0,7.5,6.5,7.0,7.0,6.5,7.0,8.6,2023-07-01
2023-07-01 22:00:00,12:40,Newmarket,What A Question,9.0,4.5,5.0,5.0,4.5,4.5,5.0,4.5,5.5,2023-07-01
2023-07-01 22:00:00,12:40,Newmarket,Ziggys Phoenix,10.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,18.0,2023-07-01
2023-07-01 22:00:00,13:15,Newmarket,New London,1.0,1.91,2.0,2.0,1.8,1.8,1.91,1.91,2.06,2023-07-01
2023-07-01 22:00:00,13:15,Newmarket,Al Aasy,2.0,3.25,3.25,3.25,3.2,3.2,3.25,3.25,3.3,2023-07-01
2023-07-01 22:00:00,13:15,Newmarket,Kemari,3.0,8.0,8.0,8.0,7.5,7.5,7.0,8.0,9.2,2023-07-01
2023-07-01 22:00:00,13:15,Newmarket,Outbox,4.0,34.0,34.0,34.0,34.0,34.0,29.0,34.0,34.0,2023-07-01
2023-07-01 22:00:00,13:15,Newmarket,Phantom Flight,5.0,7.5,7.0,7.0,7.5,7.5,7.5,7.5,8.0,2023-07-01
2023-07-01 22:00:00,13:50,Newmarket,Jumby,1.0,6.5,6.5,6.5,6.0,6.0,6.0,6.5,6.8,2023-07-01
2023-07-01 22:00:00,13:50,Newmarket,Aldaary,2.0,2.62,2.62,2.62,2.5,2.5,2.62,2.62,3.0,2023-07-01
