MENU_HINT,EVENT_NAME,Name,WIN_LOSE,BSP,PPWAP,MORNINGWAP,PPMAX,PPMIN,IPMAX,IPMIN,MORNINGTRADEDVOL,PPTRADEDVOL,IPTRADEDVOL,age,weight,jockey,trainer,ratings,form,distance_behind,isp,position,race_surface,race_runners,race_going,race_distance,race_class,race_ages,non_runners
Newcastle 1st Jul,6f Grp 3,Tiber Flow,1,3.68087066,3.9721,4.2176,4.9,3.55,4.6,1.01,23662.13,102306.28,37541.14,4,131,Tom Marquand,W J Haggas,106,186542,,3.5,1,Allweather,8,Standard / Slow,1320,1,3+,None
Chester 1st Jul,1m4f Hcap,Croachill,0,17.67107622,11.6068,9.1525,15.0,9.0,1000.0,12.5,839.58,16104.99,2500.14,4,140,T P OShea,R Varian,78,236632,.5,11.0,6,Turf,8,Good (Good to Soft in places),2703,4,3+,None
Chester 1st Jul,2m Hcap,Malakahna,0,3.50866469,3.195,2.9619,3.55,2.86,940.0,3.45,1928.85,113867.47,20706.93,5,135,Callum Hutchinson,Ian Williams,80,626113,3,2.875,2,Turf,7,Good (Good to Soft in places),3496,4,4+,"['Myboymax', 'John The Baptist']"
Newcastle 1st Jul,6f Hcap,Lethal Levi,0,6.66951697,6.5306,6.4879,7.4,6.0,1000.0,5.2,15920.94,45677.78,5540.56,4,137,C Lee,K R Burke,99,196020,1.5,6.0,3,Allweather,9,Standard / Slow,1320,2,3+,None
Newmarket 1st Jul,1m2f Hcap,Wintercrack,0,36.0,25.7689,27.9769,38.0,25.0,1000.0,7.2,111.96,8687.22,3261.52,3,131,K T ONeill,Mrs P Sly,73,00176,1,26.0,3,Turf,9,Good,2200,5,3+,None
Windsor 1st Jul,1m3f Hcap,Cosmic Desert,0,52.42122082,43.2197,25.0889,60.0,18.0,1000.0,40.0,278.8,3912.4,1355.41,4,130,S M Levey,T Kent,89,243100,30,41.0,7,Turf,7,Good to Firm (Good in places),2519,2,4+,"['Postmark', 'Magical Morning']"
Lingfield 1st Jul,1m4f Hcap,Mysterious Maestro,0,5.2,4.1709,5.6948,6.8,3.95,1000.0,3.8,1437.14,63026.03,7670.21,3,130,Harry Burns,S  E Crisford,59,967505,4,4.333333333333333,7,Polytrack,8,Standard,2640,6,3,None
Doncaster 1st Jul,7f Mdn Stks,Meliora Venire,0,34.0,38.8274,17.9546,60.0,28.0,1000.0,11.5,40.06,3189.81,1673.27,2,126,ElleMay Croot,I Furtado,,,4,29.0,10,Turf,10,Good (Good to Firm in Places),1546,5,2,['Roubay']
Doncaster 1st Jul,6f Hcap,Brazen Bolt,0,38.0,19.7989,13.6666,40.0,13.5,90.0,3.6,264.12,7448.15,3688.4,6,134,Harry Russell,J J Quinn,84,124165,nk,26.0,2,Turf,10,Good (Good to Firm in Places),1322,4,4+,None
Windsor 1st Jul,6f Nov Stks,Sunday Belle,0,65.05417772,46.9176,37.1192,75.0,32.0,1000.0,15.0,68.96,2745.24,1129.75,2,128,Hector Crouch,Ian Williams,,,1.75,34.0,5,Turf,9,Good to Firm (Good in places),1332,5,2,None
Lingfield 1st Jul,1m2f Hcap,Lost In Time,0,2.8651875,3.0167,5.8074,5.96,2.64,1000.0,2.32,769.56,91646.25,14823.58,6,141,Jefferson Smith,D K Ivory,59,043480,1,3.5,2,Polytrack,9,Standard,2200,6,3+,"['Dark Gold', 'Maffeo Barberini']"
