name,time,1_max_book,1_max_book_name,1_min_book,1_min_book_name,1_mean_book,1_ex,1_deduction,1_max_book_NR,1_min_book_NR,1_mean_book_NR,1_ex_NR,6_max_book,6_max_book_name,6_min_book,6_min_book_name,6_mean_book,6_ex,6_deduction,6_max_book_NR,6_min_book_NR,6_mean_book_NR,6_ex_NR,10_max_book,10_max_book_name,10_min_book,10_min_book_name,10_mean_book,10_ex,10_deduction,10_max_book_NR,10_min_book_NR,10_mean_book_NR,10_ex_NR,WIN_LOSE,BSP,PPWAP,MORNINGWAP,PPMAX,PPMIN,IPMAX,IPMIN,MORNINGTRADEDVOL,PPTRADEDVOL,IPTRADEDVOL,age,weight,jockey,trainer,ratings,form,distance_behind,isp,position,race_surface,race_runners,race_going,race_distance,race_class,race_ages,non_runners,predicted_position_1,fave_1,predicted_position_6,fave_6,predicted_position_10,fave_10,predicted_position_BSP,fave_BSP,predicted_position_isp,fave_isp,change_book_NR_1_6,change_book_NR_1_10,change_book_NR_6_10,change_book_NR_rank_1_6,change_book_NR_rank_1_10,change_book_NR_rank_6_10,change_book_NR_1_isp,change_book_NR_1_BSP,change_book_NR_6_isp,change_book_NR_6_BSP,change_book_NR_10_isp,change_book_NR_10_BSP,change_book_NR_rank_1_isp,change_book_NR_rank_1_BSP,change_book_NR_rank_6_isp,change_book_NR_rank_6_BSP,change_book_NR_rank_10_isp,change_book_NR_rank_10_BSP,change_ex_NR_1_6,change_ex_NR_1_10,change_ex_NR_6_10,change_ex_NR_rank_1_6,change_ex_NR_rank_1_10,change_ex_NR_rank_6_10,change_ex_NR_1_isp,change_ex_NR_1_BSP,change_ex_NR_6_isp,change_ex_NR_6_BSP,change_ex_NR_10_isp,change_ex_NR_10_BSP,change_ex_NR_rank_1_isp,change_ex_NR_rank_1_BSP,change_ex_NR_rank_6_isp,change_ex_NR_rank_6_BSP,change_ex_NR_rank_10_isp,change_ex_NR_rank_10_BSP,1_diff_book_ex,6_diff_book_ex,10_diff_book_ex,isp_bsp_change,any_fave,all_fave,bookr_1,exr_1,bookr_6,exr_6,bookr_10,exr_10,bspr,bsp_ncr,ispr,predicted_position_morningwap,predicted_position_ppwap,wap_change,wap_change_rank,morning_tradedvol_rank,morning_tradedvol_race_average,morning_tradedvol_compared_race_average,total_tradedvol_rank,total_tradedvol_race_average,total_tradedvol_compared_race_average,tradedvol_change,tradedvol_change_rank,nearly_won,total_distance_behind,racetype,race_location,horse_min_age,horse_min_weight,horse_min_rating,horse_max_age,horse_max_weight,horse_max_rating,horse_mean_age,horse_mean_weight,horse_mean_rating,date
Batal Dubai,12:20,6.5,spr,6.0,william_hill,6.285714285714286,6.8,[0],6.5,6.0,6.285714285714286,6.8,6.5,spr,6.0,william_hill,6.285714285714286,7.0,[0],6.5,6.0,6.285714285714286,7.0,6.5,betfair_sportsbook,5.5,bet_victor,5.928571428571429,6.2,[0],6.5,5.5,5.928571428571429,6.2,1,4.65065195,5.3291,6.094,8.4,4.4,34.0,1.01,24949.68,71813.04,53979.47,3,120,Oisin Murphy,H  R Charlton,88.0,13177,,4.5,1,Allweather,9,Standard / Slow,1320,2,3+,None,3.0,0,3.0,0,2.0,0,1.0,1,1.0,1,0.0,-0.05681818181818177,-0.05681818181818177,3.0,2.0,2.0,-0.28409090909090906,-0.2601235534090909,-0.28409090909090906,-0.2601235534090909,-0.24096385542168675,-0.21555268313253007,2.0,1.0,2.0,1.0,2.0,2.0,0.02941176470588247,-0.08823529411764697,-0.11428571428571421,4.0,3.0,2.0,-0.3382352941176471,-0.3160805955882352,-0.3571428571428571,-0.3356211499999999,-0.27419354838709675,-0.2498948467741935,2.0,1.0,2.0,2.0,2.0,2.0,-0.07563025210084029,-0.10204081632653061,-0.04377880184331795,0.033478211111111156,1,0,5.285714285714286,5.684,5.285714285714286,5.88,4.928571428571429,5.096,3.577638911,3.6506519500000003,3.5,2.0,2.0,-0.12551690187069242,2.0,2.0,12280.2,1.0316998094493575,2.0,31941.498888888887,1.2482676924400922,1.878315072578085,2.0,,0.0,Hcap,Jul,3.0,119.0,87.0,8.0,142.0,104.0,5.0,132.0,96.0,2023-07-01
Animate,12:20,12.0,betfair_sportsbook,11.0,spr,11.285714285714286,11.5,[0],12.0,11.0,11.285714285714286,11.5,10.0,spr,9.5,bet_victor,9.928571428571429,9.0,[0],10.0,9.5,9.928571428571429,9.0,9.5,william_hill,8.5,paddy_power,9.0,9.2,[0],9.5,8.5,9.0,9.2,0,9.0,8.7591,9.5986,14.0,7.0,1000.0,1.69,14604.84,33391.51,14650.62,3,119,Andrea Atzeni,S  E Crisford,87.0,314613,0.2,7.0,2,Allweather,9,Standard / Slow,1320,2,3+,None,7.0,0,7.0,0,4.0,0,4.0,0,4.0,0,-0.12025316455696211,-0.20253164556962033,-0.09352517985611508,1.0,1.0,1.0,-0.379746835443038,-0.20253164556962033,-0.29496402877697847,-0.09352517985611508,-0.2222222222222222,0.0,1.0,2.0,1.0,3.0,3.0,4.0,-0.21739130434782605,-0.20000000000000007,0.022222222222222143,1.0,1.0,5.0,-0.3913043478260869,-0.21739130434782605,-0.2222222222222222,0.0,-0.23913043478260865,-0.021739130434782483,1.0,2.0,4.0,4.0,3.0,3.0,-0.01863354037267073,0.10317460317460325,-0.021739130434782483,0.2857142857142858,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.0,4.0,-0.0874606713479048,3.0,4.0,12280.2,0.1892998485366688,4.0,31941.498888888887,0.045395838064929084,1.2863317913787484,8.0,1.0,0.2,Hcap,Jul,3.0,119.0,87.0,8.0,142.0,104.0,5.0,132.0,96.0,2023-07-01
Lethal Levi,12:20,6.0,spr,6.0,spr,6.0,6.4,[0],6.0,6.0,6.0,6.4,6.0,spr,6.0,spr,6.0,6.6,[0],6.0,6.0,6.0,6.6,6.5,william_hill,6.0,spr,6.142857142857143,6.4,[0],6.5,6.0,6.142857142857143,6.4,0,6.66951697,6.5306,6.4879,7.4,6.0,1000.0,5.2,15920.94,45677.78,5540.56,4,137,C Lee,K R Burke,99.0,196020,1.5,6.0,3,Allweather,9,Standard / Slow,1320,2,3+,None,2.0,0,2.0,0,3.0,0,3.0,0,3.0,0,0.0,0.023809523809523947,0.023809523809523947,3.0,4.0,4.0,0.0,0.11158616166666668,0.0,0.11158616166666668,-0.023255813953488413,0.08573532069767431,5.0,5.0,5.0,5.0,6.0,5.0,0.031249999999999778,0.0,-0.030303030303030165,5.0,5.0,4.0,-0.0625,0.042112026562499905,-0.09090909090909083,0.010532874242424217,-0.0625,0.042112026562499905,6.0,5.0,6.0,5.0,7.0,5.0,-0.0625,-0.09090909090909083,-0.0401785714285714,0.11158616166666668,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.0,3.0,0.006581482451949006,6.0,3.0,12280.2,0.2964723701568377,3.0,31941.498888888887,0.43004497562540456,1.8690378834415555,3.0,,1.7,Hcap,Jul,3.0,119.0,87.0,8.0,142.0,104.0,5.0,132.0,96.0,2023-07-01
Coachello,12:20,13.0,bet_victor,10.0,888_sports,12.142857142857142,12.0,[0],13.0,10.0,12.142857142857142,12.0,13.0,spr,10.0,888_sports,12.428571428571429,16.0,[0],13.0,10.0,12.428571428571429,16.0,17.0,bet_victor,15.0,spr,15.857142857142858,19.0,[0],17.0,15.0,15.857142857142858,19.0,0,10.22803594,14.4411,17.2834,20.0,9.6,1000.0,8.6,4766.9,14895.11,3812.03,5,142,O J Orr,G Elliott,104.0,761038,0.2,10.0,4,Allweather,9,Standard / Slow,1320,2,3+,None,8.0,0,8.0,0,9.0,0,5.0,0,5.0,0,0.02352941176470602,0.3058823529411765,0.27586206896551735,9.0,8.0,8.0,-0.17647058823529405,-0.15769115788235288,-0.1954022988505747,-0.17705457954022996,-0.36936936936936937,-0.3549887245045046,3.0,3.0,3.0,2.0,1.0,1.0,0.33333333333333326,0.5833333333333333,0.1875,9.0,8.0,8.0,-0.16666666666666663,-0.14766367166666672,-0.375,-0.36074775375,-0.4736842105263158,-0.46168231894736844,4.0,3.0,1.0,1.0,1.0,1.0,0.011904761904761862,-0.2232142857142857,-0.16541353383458646,0.022803593999999983,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,9.0,6.0,-0.16445259613270535,1.0,6.0,12280.2,-0.6118222830247064,6.0,31941.498888888887,-0.53367529645951,2.124695294635927,1.0,,1.9,Hcap,Jul,3.0,119.0,87.0,8.0,142.0,104.0,5.0,132.0,96.0,2023-07-01
Tiger Crusade,12:20,9.5,william_hill,8.5,paddy_power,9.071428571428571,13.0,[0],9.5,8.5,9.071428571428571,13.0,9.5,william_hill,8.5,paddy_power,9.071428571428571,13.5,[0],9.5,8.5,9.071428571428571,13.5,12.0,spr,11.0,888_sports,11.857142857142858,12.5,[0],12.0,11.0,11.857142857142858,12.5,0,13.68259963,13.916,14.7739,17.0,10.5,1000.0,27.0,3987.04,11330.44,2442.46,6,135,Callum Shepherd,D M Simcock,97.0,401316,0.75,11.0,5,Allweather,9,Standard / Slow,1320,2,3+,None,6.0,0,6.0,0,7.0,0,6.0,0,6.0,0,0.0,0.30708661417322847,0.30708661417322847,3.0,9.0,9.0,0.21259842519685046,0.508318069448819,0.21259842519685046,0.508318069448819,-0.07228915662650603,0.1539541856626505,6.0,7.0,6.0,7.0,5.0,6.0,0.03846153846153855,-0.038461538461538436,-0.07407407407407407,6.0,4.0,3.0,-0.15384615384615385,0.05250766384615391,-0.18518518518518523,0.013525898518518487,-0.12,0.09460797040000002,5.0,6.0,5.0,6.0,5.0,6.0,-0.30219780219780223,-0.328042328042328,-0.05142857142857138,0.24387269363636377,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6.0,5.0,-0.05806862101408561,4.0,8.0,12280.2,-0.6753277633914757,7.0,31941.498888888887,-0.6452752565114787,1.8418174886632692,4.0,,2.65,Hcap,Jul,3.0,119.0,87.0,8.0,142.0,104.0,5.0,132.0,96.0,2023-07-01
Soldiers Minute,12:20,9.0,spr,9.0,spr,9.0,9.8,[0],9.0,9.0,9.0,9.8,9.0,spr,9.0,spr,9.0,9.4,[0],9.0,9.0,9.0,9.4,10.0,spr,9.0,paddy_power,9.857142857142858,16.5,[0],10.0,9.0,9.857142857142858,16.5,0,21.79112527,18.0693,15.562,26.0,9.8,18.5,9.0,6885.63,16295.85,2329.6,8,135,J Fanning,K Dalgleish,97.0,290544,0.25,15.0,6,Allweather,9,Standard / Slow,1320,2,3+,None,5.0,0,5.0,0,6.0,0,9.0,0,8.0,0,0.0,0.09523809523809534,0.09523809523809534,3.0,5.0,5.0,0.6666666666666667,1.4212361411111107,0.6666666666666667,1.4212361411111107,0.5217391304347825,1.2106938679710142,8.0,9.0,8.0,9.0,8.0,9.0,-0.04081632653061229,0.6836734693877551,0.7553191489361701,2.0,9.0,9.0,0.5306122448979591,1.2235842112244897,0.5957446808510638,1.3182048159574467,-0.09090909090909094,0.3206742587878786,9.0,9.0,9.0,9.0,6.0,8.0,-0.08163265306122458,-0.042553191489361764,-0.4025974025974026,0.45274168466666653,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.0,9.0,0.1611168230304587,9.0,5.0,12280.2,-0.43929007670884845,5.0,31941.498888888887,-0.4898220006303885,1.3666461892375863,7.0,,2.9,Hcap,Jul,3.0,119.0,87.0,8.0,142.0,104.0,5.0,132.0,96.0,2023-07-01
Magical Spirit,12:20,8.5,spr,8.0,william_hill,8.428571428571429,12.0,[0],8.5,8.0,8.428571428571429,12.0,8.5,spr,8.0,william_hill,8.428571428571429,13.5,[0],8.5,8.0,8.428571428571429,13.5,11.0,bet_victor,9.0,betfair_sportsbook,9.5,14.0,[0],11.0,9.0,9.5,14.0,0,18.5,16.7732,14.4499,21.0,11.0,1000.0,12.5,3863.48,10376.94,2087.1,7,135,T Eaves,K A Ryan,97.0,040413,2.0,15.0,7,Allweather,9,Standard / Slow,1320,2,3+,None,4.0,0,4.0,0,5.0,0,8.0,0,8.0,0,0.0,0.1271186440677965,0.1271186440677965,3.0,7.0,7.0,0.7796610169491525,1.194915254237288,0.7796610169491525,1.194915254237288,0.5789473684210527,0.9473684210526316,9.0,8.0,9.0,8.0,9.0,8.0,0.125,0.16666666666666674,0.03703703703703698,7.0,7.0,7.0,0.25,0.5416666666666667,0.11111111111111116,0.37037037037037046,0.0714285714285714,0.3214285714285714,8.0,8.0,7.0,8.0,8.0,9.0,-0.29761904761904756,-0.3756613756613757,-0.3214285714285714,0.2333333333333334,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5.0,8.0,0.16078311960636404,8.0,9.0,12280.2,-0.6853894887705412,8.0,31941.498888888887,-0.6751267047267558,1.6859049354467994,5.0,,4.9,Hcap,Jul,3.0,119.0,87.0,8.0,142.0,104.0,5.0,132.0,96.0,2023-07-01
Raatea,12:20,3.75,william_hill,3.25,paddy_power,3.5,3.8,[0],3.75,3.25,3.5,3.8,3.75,william_hill,3.25,paddy_power,3.4642857142857144,3.8,[0],3.75,3.25,3.4642857142857144,3.8,3.5,william_hill,3.25,spr,3.4285714285714284,3.9,[0],3.5,3.25,3.4285714285714284,3.9,0,5.1379212,4.4946,3.9282,5.8,3.65,1000.0,5.0,30995.59,73453.96,6302.88,6,131,Jason Hart,Miss J A Camacho,93.0,046451,1.75,4.5,8,Allweather,9,Standard / Slow,1320,2,3+,None,1.0,1,1.0,1,1.0,1,2.0,0,1.0,1,-0.010204081632653073,-0.020408163265306145,-0.010309278350515538,2.0,3.0,3.0,0.2857142857142858,0.46797748571428577,0.2989690721649485,0.483111274226804,0.3125,0.4985603500000002,7.0,6.0,7.0,6.0,7.0,7.0,0.0,0.026315789473684292,0.026315789473684292,3.0,6.0,6.0,0.1842105263157896,0.35208452631578946,0.1842105263157896,0.35208452631578946,0.15384615384615397,0.3174156923076923,7.0,7.0,8.0,7.0,9.0,7.0,-0.07894736842105254,-0.08834586466165406,-0.1208791208791209,0.14176026666666663,1,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,0.14418817779135495,7.0,1.0,12280.2,1.5240297389293334,1.0,31941.498888888887,1.2996403598815323,1.369819706609876,6.0,,6.65,Hcap,Jul,3.0,119.0,87.0,8.0,142.0,104.0,5.0,132.0,96.0,2023-07-01
Aleezdancer,12:20,15.0,bet_victor,12.0,william_hill,13.571428571428571,16.0,[0],15.0,12.0,13.571428571428571,16.0,15.0,bet_victor,12.0,william_hill,13.571428571428571,18.0,[0],15.0,12.0,13.571428571428571,18.0,15.0,spr,15.0,spr,15.0,14.0,[0],15.0,15.0,15.0,14.0,0,14.5,15.0051,15.8215,18.5,12.0,1000.0,13.0,4547.7,10238.86,1372.86,4,136,N Callan,K A Ryan,98.0,303160,0.5,12.0,9,Allweather,9,Standard / Slow,1320,2,3+,None,9.0,0,9.0,0,8.0,0,7.0,0,7.0,0,0.0,0.10526315789473695,0.10526315789473695,3.0,6.0,6.0,-0.11578947368421055,0.06842105263157894,-0.11578947368421055,0.06842105263157894,-0.19999999999999996,-0.033333333333333326,4.0,4.0,4.0,4.0,4.0,3.0,0.125,-0.125,-0.2222222222222222,7.0,2.0,1.0,-0.25,-0.09375,-0.33333333333333337,-0.19444444444444442,-0.1428571428571429,0.03571428571428581,3.0,4.0,3.0,3.0,4.0,4.0,-0.1517857142857143,-0.24603174603174605,0.0714285714285714,0.20833333333333326,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.0,7.0,-0.051600669974401936,5.0,7.0,12280.2,-0.6296721551766258,9.0,31941.498888888887,-0.679449607683825,1.2514369901268774,9.0,,7.15,Hcap,Jul,3.0,119.0,87.0,8.0,142.0,104.0,5.0,132.0,96.0,2023-07-01
Neverstopdreaming,12:40,26.0,spr,21.0,888_sports,24.857142857142858,21.0,[0],26.0,21.0,24.857142857142858,21.0,26.0,spr,21.0,888_sports,24.857142857142858,42.0,[0],26.0,21.0,24.857142857142858,42.0,41.0,bet_victor,34.0,spr,37.0,50.0,[0],41.0,34.0,37.0,50.0,0,60.0,45.2036,49.6124,85.0,25.96,1000.0,100.0,659.1,4900.09,517.4,2,128,P J McDonald,James Horton,75.0,41,3.0,34.0,9,Turf,9,Good,1320,1,2,['Denruth Diamond'],8.0,0,8.0,0,8.0,0,9.0,0,8.0,0,0.0,0.4885057471264367,0.4885057471264367,3.0,8.0,8.0,0.367816091954023,1.4137931034482758,0.367816091954023,1.4137931034482758,-0.08108108108108103,0.6216216216216217,6.0,8.0,6.0,7.0,3.0,6.0,1.0,1.380952380952381,0.19047619047619047,9.0,9.0,4.0,0.6190476190476191,1.8571428571428572,-0.19047619047619047,0.4285714285714286,-0.31999999999999995,0.19999999999999996,8.0,9.0,3.0,5.0,2.0,5.0,0.18367346938775508,-0.40816326530612246,-0.26,0.7647058823529411,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.0,8.0,-0.08886488055405506,3.0,8.0,7616.636666666666,-0.9134657423158341,8.0,47580.259999999995,-0.8970142239659893,6.434516765285996,4.0,,26.5,Listed,Jul,2.0,128.0,75.0,2.0,128.0,84.0,2.0,128.0,80.0,2023-07-01
